,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,,VIC,VIC,VIC,,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Total,"4,851",70.3,19.9,70.0,363,50.0,71.1,70.0,114,70.0,129,65.1,6.5,70.0,42.0,73.2,"2,577",73.3,411,64.8,"74,019",72.5,"9,744",72.4,"1,036",72.5,59.9,70.0,12.1,69.4,"1,795",70.2,533,70.0,"75,729",72.5,"10,824",70.0,"19,549",72.5,208,70.0,187,70.0,"59,283",51.0,"282,684",67.4,"190,563",,"16,171",66.2,"10,705",,"56,104","24,780","4,609","295,443",176,"4,210",661,"3,128",561,"2,329","15,662","5,719","55,989",,,"469,369",,"56,538","78,136","58,799","8,100","7,889",182,69.2,"29,542","262,663",,"179,538",,594,"11,041","36,686",69.0,"25,298",389,"3,481","17,459",67.6,"11,808",0.31,5.5,16.5,65.8,10.8,,"54,824",68.5,"37,580",,"1,347",946,353,187,120,52.4,53.1,40.8,36.5,945,"8,504",70,"5,953"
Region,Lachlan,Lachlan,Lachlan,Lachlan,Lachlan,Lachlan,Lachlan,Lachlan,Tumut-Adelong,Tumut-Adelong,Tumut-Adelong,Tumut-Adelong,Tumut-Adelong,Tumut-Adelong,Tumut-Adelong,Tumut-Adelong,Southern,Southern,Hunter-Macleay,Hunter-Macleay,Peel-Uralla,Peel-Uralla,Peel-Uralla,Peel-Uralla,Peel-Uralla,Peel-Uralla,Peel-Uralla,Peel-Uralla,Peel-Uralla,Peel-Uralla,Peel-Uralla,Peel-Uralla,Peel-Uralla,Peel-Uralla,New England,New England,New England,New England,New England,New England,Cobar,Cobar,Albert,Albert,Ardlethan,Ardlethan,,,,,,,,,North-West,North-West,North-West,Western,Western,Western,Northern-,Eastern,Eastern,Eastern,Eastern,Eastern,North-East,,,,,Stanthorpe,Herberton,Herberton,Chillagoe-Mareeba,,Croydon,Croydon,Other,,,,,Greenbushes,Greenbushes,Greenbushes,Greenbushes,Greenbushes,Pilbara,Pilbara,Pilbara,Pilbara,Pilbara,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,,,,,Maranboy,Mount Wells-,Horseshoe,Wolfram,Hayes,Daly,Hidden,Bamboo,Anningie-,Miscellaneous,,,
Field,Misco.,Misco.,Yalgogrin,Yalgogrin,Barmedman,Barmedman,Narrandera,Narrandera,Germanton,Germanton,Albury,Albury,Wagga Wagga,Wagga Wagga,Holbrook,Holbrook,Goulburn,Goulburn,Kempsey,Kempsey,Tingha,Tingha,Glen Innes,Glen Innes,Inverell,Inverell,Kookabookra,Kookabookra,Armidale,Armidale,Bendemeer,Bendemeer,Miscellaneous,Miscellaneous,Emmaville,Emmaville,Deepwater-Torrington,,Wilson's Downfall-Tenterfield,,Euabalong,Euabalong,Broken Hill,Broken Hill,Ardlethan,Ardlethan,TOTAL,TOTAL,TOTAL,,TOTAL,TOTAL,TOTAL,,Mount Bischoff,Cleveland-Luina,Other,Renison Bell,Razorback,Other,Southern,Anchor,Royal George,Storey's Creek,Rossarden,Other,,TOTAL,TOTAL,TOTAL,,,,,,,,,,TOTAL,TOTAL,TOTAL,,,,Total,Total,Total,,,Total,Total,Total,,,Total,Total,Total,,TOTAL,TOTAL,TOTAL,,,Burundie,Creek,Camp (NT),Creek,River,Valley,Creek (NT),Conniston,& Unknown,TOTAL,TOTAL,TOTAL
,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Tin Conc,Mixed Sn,Mixed Sn,,,,,,,,,,,,,,,,,,,,,,,,,,,Lode Tin,Stream Tin,Lode Tin,Stream Tin,Lode Tin,Stream Tin,,,,,,Lode Tin,Stream Tin,,,,Lode Tin,Stream Tin,,,,Lode Tin,Stream Tin,,,,,,,,,,,,,,,,,,,,,
,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn conc,conc %Sn,t Sn,,t Sn conc,conc %Sn,t Sn,,t Sn,t Sn,t Sn,t Sn,t Sn,t Sn,t Sn,t Sn,t Sn,t Sn,t Sn,t Sn,t Sn,t Sn conc,conc %Sn,t Sn,,t Sn conc,t Sn conc,t Sn conc,t Sn conc,t Sn conc,t Sn conc,t Sn conc,t Sn conc,t Sn conc,conc %Sn,t Sn,,t Sn conc,t Sn conc,t Sn conc,conc %Sn,t Sn,t Sn conc,t Sn conc,t Sn conc,conc %Sn,t Sn,t Sn conc,t Sn conc,t Sn conc,conc %Sn,t Sn,Field(s),t Sn conc,conc %Sn,t Sn,,t Sn conc,t Sn conc,t Sn conc,t Sn conc,t Sn conc,t Sn conc,t Sn conc,t Sn conc,t Sn conc,t Sn conc,t Sn conc,conc %Sn,t Sn
1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5,70,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6,70,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,70,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719,70,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,70,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,70,77.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,70,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,70,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3,70,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.2,70,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,70,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,70,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9,70,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,70,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,70,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,70,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,70,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,68,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,,,,,,,,,,,,,,,,,,,,,127,72.5,,,,,,,,,,,,,635,72.5,,,132,72.5,,,,,,,894,72.5,648,,300,72.5,217,,,,,,,,,,,,,,,,,,,"1,430",,,,,,,,"1,430",70,"1,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,,,,,,,,,,,,,,,,,,,,,"1,295",72.5,,,,,,,,,,,,,"1,778",72.5,,,"1,295",72.5,,,,,,,"4,369",72.5,"3,167",,178,70,124,,,,,,,,,,,,,,,,,,,"9,081",,,,,,,,"9,081",70,"6,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,,,,,,,,,,,,,,,,,,,,,"1,270",72.5,,,,,,,,,,,,,"2,525",72.5,,,"1,270",72.5,,,,,,,"5,065",72.5,"3,672",,115,71.7,82.1,,224,,5.1,,,,,,,,,,25,,,254,,"5,793",,,,,,,,"5,793",70,"4,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,,,,,,,,,,,,,,,,,,,,,"1,701",72.5,,,,,,,,,,,,,"3,089",72.5,,,"1,585",72.5,,,,,,,"6,374",72.5,"4,621",,66.5,72.5,48.2,,289,,5.1,,,,,,,,,,300,,,594,,"4,547",,,,,,,,"4,547",70,"3,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,,,,,,,,,,,,,,,,,,,,,"2,337",72.5,"1,016",72.5,,,,,,,,,,,"3,057",72.5,,,"1,408",72.5,,,,,,,"7,818",72.5,"5,668",,27.4,70,19.2,,612,,5.1,,,,,,,,,,650,,,"1,267",,"4,384",,,,,,,,"4,384",70,"3,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,,,,,,,,"1,829",72.5,102,72.5,,,,,,,,,,,"1,777",72.5,,,"1,417",72.5,,,,,,,"5,125",72.5,"3,715",,96.2,70,67.3,,"1,296",,5.1,,,25.4,,,,,,,850,,,"2,177",,"3,388",,,,,,,,"3,388",70,"2,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,,,,,,,,,"1,524",72.5,305,72.5,,,,,,,,,,,"1,967",72.5,,,"1,125",72.5,,,,,,,"4,920",72.5,"3,567",,73.1,70,51.2,,"1,550",,5.1,,,76.2,,,,,,,800,,,"2,432",,"2,895",,,,,,,,"2,895",70,"2,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,,,,,,,,,,,,,,,,,,,,,"1,052",72.5,305,72.5,,,,,,,,,,,"2,759",72.5,,,720,72.5,,,,,,,"4,835",72.5,"3,506",,24.4,70,17.1,,"1,831",,5.1,,,127,,,,,,,750,,,"2,713",,"2,790",31.5,102,,,,,,"2,923",70,"2,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,,,,,,,,,,,,,,,,,,,,,"1,750",72.5,268,72.5,,,,,,,,,,,"3,755",72.5,,,688,72.5,,,,,,,"6,461",72.5,"4,684",,98.6,61.5,60.6,,"1,758",,5.1,,,152,,,,,,,650,,,"2,565",,2696,94.5,102,,,,,,"2,893",70,"2,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,,,,,,,,,,,,,,,,,,,,,"2,540",72.5,508,72.5,,,,,,,,,,,"4,104",72.5,,,554,72.5,,,,,,,"7,706",72.5,"5,587",,125,62.5,78.1,,"1,701",,5.1,,,203,,,,,,,500,,,"2,409",,"2,308","1,101",102,,,,,,"3,511",70,"2,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,,,,,,,,"3,160",72.5,359,72.5,,,,,,,,,,,"3,208",72.5,,,625,72.5,,,,,,,"7,351",72.5,"5,330",,"1,095",62.5,684,,"1,790",,5.1,,,152,,,,,,,450,,,"2,398",,"2,490","1,636",203,,,,,,"4,329",70,"3,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,70,19.1
1883,,,,,,,,,,,,,,,,,,,,,"2,549",72.5,307,72.5,,,,,,,,,,,"2,549",72.5,,,457,72.5,,,,,,,"5,862",72.5,"4,250",,95.7,62.5,59.8,,"1,754",,5.1,,,127,,,,,,,425,,,"2,311",,830,"2,759",610,,,,,,"4,199",70,"2,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,70,5.4
1884,,,,,,,,,,,,,,,,,,,,,"2,430",72.5,134,72.5,,,,,,,,,,,"2,277",72.5,,,498,72.5,,,,,,,"5,339",72.5,"3,871",,45.5,65,29.6,,"1,869",,5.1,,,50.8,,,,,,,400,,,"2,325",,949,"1,933",457,,,,,98.4,"3,437",70,"2,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,70,23.7
1885,,,,,,,,,,,,,,,,,,,,,"1,863",72.5,163,72.5,,,,,,,5.1,70,,,"2,545",72.5,,,316,72.5,,,,,,,"4,892",72.5,"3,547",,,,,,"1,951",,5.1,,,5.1,,,,,,,400,,,"2,361",,511,"2,129",254,,,,,411,"3,305",70,"2,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,70,2.1
1886,,,,,,,,,,,,,,,,,,,,,"1,675",72.5,232,72.5,,,,,,,6.1,70,,,"1,924",72.5,,,312,72.5,,,,,,,"4,149",72.5,"3,008",,1.5,65,1.0,,"1,792",,5.1,,,5.1,,,,,,,375,,,"2,177",,437,"2,234",254,,,,,279,"3,203",70,"2,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,70,7.5
1887,,,,,,,,,,,,,,,,,,,,,"1,280",72.5,174,72.5,,,,,,,7.6,70,,,"2,682",72.5,,,274,72.5,,,6.1,70,,,"4,424",72.5,"3,207",,7.1,65,4.6,,"1,752",,5.1,,,5.1,,,,,,,375,,,"2,137",,362,"1,532",305,,,,,"1,133","3,331",70,"2,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,70,19.5
1888,,,,,,,,,,,,,,,,,,,,,"1,023",72.5,199,72.5,,,,,,,19.6,70,,,"1,054",72.5,,,206,72.5,,,28.0,70,,,"2,530",72.5,"1,833",,55.4,65,36.0,,"1,790",,5.1,,,5.1,,,,,,,375,,,"2,175",,421,"1,412",140,,,,,"1,670","3,643",70,"2,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9,70,59.4
1889,,,,,,,,,,,,,,,,,,,,,"1,374",72.5,145,72.5,,,,,,,26.4,70,,,"1,578",72.5,,,258,72.5,,,13.8,70,,,"3,395",72.5,"2,460",,111,65,71.9,,"1,672",,5.1,,,5.1,,,,,,,375,,,"2,057",,315,"1,585",212,,,,,969,"3,082",70,"2,157",,,5.1,5.1,70,3.6,,,,,,,,,,,,5.1,70,3.6,,,,,,,,,,,,90.2,70,63.1
1890,,,,,,,,,,,,,,,,,,,38.6,65,"1,270",72.5,154,72.5,,,,,,,20.4,70,,,"1,168",72.5,,,224,72.5,,,,,,,"2,876",72.4,"2,081",,924,65,601,,"1,540",,5.1,,,5.1,,,,,,,400,,,"1,950",,281,"1,717",347,,,,,673,"3,018",70,"2,112",,,68.6,68.6,70,48.0,,,,,,,,,,,,68.6,70,48.0,,,,,,,,,,,,116,70,81.4
1891,,,,,,,,,,,,,,,,,,,,,"1,013",72.5,43.7,72.5,,,,,,,20.3,70,,,989,72.5,,,244,72.5,,,,,,,"2,309",72.5,"1,674",,"1,807",65,"1,174",,"1,603",,5.1,,,5.1,,,,,,,375,,,"1,988",,248,"1,080",268,,,,,676,"2,272",70,"1,590",,1.0,206,207,70,145,,,,,,,,,,,,207,70,145,,,,,,,,,,,,30.3,70,21.2
1892,,,,,,,,,,,,,,,,,,,14.5,65,610,72.5,166,72.5,,,,,,,10.2,70,,,"1,080",72.5,427,70,231,72.5,6.4,70,3.0,70,,,"2,547",72.0,"1,834",,414,65,269,,"1,487",,5.1,,,5.1,,,,,,,375,,,"1,873",,250,"1,200",161,,,,,817,"2,427",70,"1,699",,1.2,268,270,70,189,,,,,,,,,,,,270,70,189,,,,,,,,,,,,32.0,70,22.4
1893,,,,,,,,,,,,,,,,,,,,,711,72.5,81.5,72.5,,,,,,,6.9,70,,,"1,052",72.5,356,70,179,72.5,,,0.46,70,,,"2,387",72.1,"1,721",,53.6,65,34.8,,"1,481",,5.1,,,5.1,,,,,,,375,,,"1,866",,339,"1,234",392,,,,,508,"2,473",70,"1,731",,1.5,173,174,70,122,,,57.4,70,40.1,,,,,,,232,70,162,,,,,,,,,,,,29.1,70,20.4
1894,,,,,,,,,,,,,,,,,,,,,754,72.5,122,72.5,,,,,,,20.0,70,,,"1,126",72.5,356,70,159,72.5,,,25.4,70,,,"2,562",72.1,"1,848",,61.0,65,39.6,,"1,431",,5.1,,,5.1,,,,,,,375,,,"1,816",,175,"1,270",722,,,,,750,"2,917",70,"2,042",,1.8,375,377,70,264,,,19.3,70,13.5,,,,,,,396,70,278,,,,,,,,,,,,32.6,70,22.8
1895,,,,,,,,,,,,,,,,,,,,,477,72.5,168,72.5,,,,,,,12.0,70,,,914,72.5,203,70,99.6,72.5,,,0.20,70,,,"1,874",72.2,"1,353",,60,65,39.0,,"1,526",,5.1,,,5.1,,,,,,,375,,,"1,911",,94.5,"1,053",519,,,,,482,"2,148",70,"1,503",,2.2,279,282,70,197,,,,,,,,,,,,282,70,197,,,,,,,,,,,,70.0,70,49.0
1896,,,,,,,,,,,,,,,,,,,,,638,72.5,178,72.5,,,12.2,70,,,12.3,70,,,735,72.5,305,70,152,72.5,,,,,,,"2,032",72.1,"1,465",,60,65,39.0,,"1,687",,10.2,,,5.1,,,,,,,375,,,"2,077",,97.5,759,317,,,,,406,"1,579",70,"1,105",,2.7,137,139,70,97.6,,,,,,,,,,,,139,70,97.6,,,,,,,,,,,,14.2,70,10.0
1897,,,,,,,,,,,,,,,,,,,18.0,65,701,72.5,67.1,72.5,,,,,,,11.7,70,,,610,72.5,254,70,81.3,72.5,0.70,70,,,,,"1,743",72.0,"1,256",,47.8,65,31.0,,"1,693",,15.2,,,5.1,,,,,,,375,,,"2,088",,53.8,761,189,,,,,218,"1,222",70,856,,3.3,93.8,97.1,70,68.0,,,,,,,,,,,,97.1,70,68.0,,,,,,,,,,,,0.59,70,0.42
1898,,,,,,,,,,,,,,,,,,,19.9,65,549,72.5,78.2,72.5,,,,,,,10.2,70,,,481,72.5,152,70,66.0,72.5,,,1.0,70,,,"1,357",72.1,978,,88.9,65,57.8,,"1,317",,25.4,,,5.1,,,,,,,375,,,"1,722",,91.4,517,266,,,,,167,"1,041",70,729,,4.1,65.2,69.2,70,48.5,,,,,,,,,,,,69.2,70,48.5,,,,,,,,,,,,1.2,70,0.83
1899,,,,,,,,,,,,,,,,,,,,,478,72.5,90.9,72.5,141,72.5,5.1,70,,,9.1,70,,,566,72.5,141,70,71.9,72.5,,,5.1,70,,,"1,508",72.2,"1,089",,158,65,103,,"1,357",,35.6,,,5.0,,,,,,135,418,,,"1,951",,74.2,756,291,,,,,208,"1,329",70,930,,4.9,277,282,70,197,,,58.4,70,40.9,,,,,,,340,70,238,,,,,,,,,,,,,,
1900,,,,,,,,,2.0,70,,,,,,,,,10.8,66,508,72.5,71.1,72.5,,,5.1,70,7.3,70,12.2,70,12.5,70,445,72.5,204,70,80.3,72.5,,,5.1,70,,,"1,363",72.0,982,,72.1,65,46.9,,"1,363",,6.1,,,2.1,13.5,105,,,,26.5,347,,,"1,863",,65.0,515,161,,,6.3,0.93,393,"1,141",70,799,,6.0,437,443,70,310,,,394,70,276,,,,,,,837,70,586,,,,,,,,,,,,16.6,70,11.6
1901,0.12,70,,,,,,,1.1,70,,,,,,,,,,,408,72.5,5.3,72.5,,,2.0,70,,,13.5,70,9.6,70,312,72.5,203,70,76.2,72.5,,,8.1,70,,,"1,039",71.9,748,,72.1,65,46.9,,998,,15.2,,,2.1,11.4,111,,,,21.9,336,,,"1,496",,82.3,925,230,,,3.3,0.36,447,"1,688",70,"1,181",,7.3,319,326,70,229,,,420,70,294,,,,,,,746,70,522,,,,,,,,,,,,80.7,70,56.5
1902,1.5,70,,,,,,,1,70,,,,,,,,,23.3,65,406,72.5,4.3,72.5,,,2.0,70,,,13.1,70,,,473,72.5,213,70,43.7,72.5,,,19.6,70,,,"1,202",71.8,863,,10.2,65,6.6,,898,,41.7,,,28.4,,122,,,,93.4,759,,,"1,942",,114,"1,549",121,,,1.1,0.91,332,"2,118",70,"1,483",,8.9,401,410,70,287,,,220,70,154,,,,,,,629,70,441,,,,,,,,,,,,122,70,85.6
1903,,,1.1,70,,,,,,,,,,,,,,,56.6,65,472,72.5,9.1,72.5,,,15.1,70,2.8,70,24.5,70,,,457,72.5,321,70,50.5,72.5,,,27.9,70,,,"1,438",71.5,"1,029",,33.5,65,21.8,,886,,54.9,,,52.6,,183,,,,153,"1,042",,,"2,370",,257,"2,305",620,,,6.1,1.6,579,"3,768",70,"2,637",,10.9,522,533,70,373,,,297,70,208,,,,,,,830,70,581,,,,,,,,,,,,174,70,122
1904,3.6,70,,,,,,,,,,,,,4.1,72.5,,,37.7,65,559,72.5,15.2,72.5,,,8.1,70,,,14.9,70,,,508,72.5,263,70,183,72.5,,,7.5,70,,,"1,604",71.9,"1,153",,72.1,65,46.9,,876,,27.4,,,63.3,0.7,174,,,,215,"1,137",,,"2,493",,364,"2,206",715,,,15.3,,685,"3,986",70,"2,790",,13.3,529,542,70,380,,,326,70,228,,,,,,,868,70,608,,,,,,,,,,,,274,70,192
1905,8.2,70,,,,,,,,,,,,,4.3,72.5,,,20.3,65,"1,176",72.5,10.2,72.5,,,,,,,10.9,70,,,460,72.5,77.7,70,106,72.5,,,2.4,70,,,"1,875",72.3,"1,356",,126,65,81.9,,853,,46.7,,,71.1,16.7,145,,,,140,"1,533",,,"2,807",,339,"2,327",695,,,0.95,,646,"4,008",70,"2,806",,16.2,638,654,70,458,,,443,70,310,,,,,,,"1,097",70,768,,,,,,,,,,,,293,70,205
1906,9.5,70,1.1,70,,,,,37.6,70,,,,,,,,,127,65,"1,505",72.5,154,72.5,,,10.3,70,,,11.8,70,,,417,72.5,51.4,70,123,72.5,,,13.5,70,,,"2,461",72.0,"1,771",,108,65,70.0,,725,,90.4,,,84.6,8.5,144,,,,66.3,"2,087",,,"3,206",,315,"2,901","1,014",,,1.0,4.1,664,"4,900",70,"3,430",,26.6,769,796,70,557,37.2,686,723,70,506,,,,,,,"1,519",70,"1,063",,,,,,,,,,,,407,70,285
1907,,,2.0,70,,,,,46.7,70,,,,,,,,,26.0,65,"1,841",72.5,147,72.5,67.4,72.5,,,,,19.1,70,,,420,72.5,83.7,70,173,72.5,,,2.9,70,,,"2,829",72.3,"2,045",,105,65,68.0,,478,,155,,,96.9,21.2,148,,,,81.8,"2,127",,,"3,108",,330,"3,487",738,,,4.0,42.7,621,"5,222",70,"3,656",,41.0,741,782,70,548,105.8,762,867,70,607,,,,,,,"1,650",70,"1,155",,,,,,,,,,,,430,70,301
1908,3.8,70,1.7,70,,,,,1.5,70,,,,,,,,,,,"1,430",72.5,64.8,72.5,39.8,72.5,,,,,14.2,70,,,556,72.5,142,70,238,72.5,15.2,70,,,,,"2,506",72.3,"1,813",,80.3,65,52.2,,614,,180,,,95.9,64.0,95,,,,99.2,"2,097",,,"3,245",,444,"3,061",796,,,11.2,10.3,580,"4,903",70,"3,432",,14.1,571,586,70,410,31.5,378,409,70,287,,,,,,,995,70,697,,,,,,,,,,,,455,70,318
1909,,,,,,,,,1.5,70,,,,,,,,,6.1,65,"1,519",72.5,24.4,72.5,18.0,72.5,,,,,19.3,70,,,686,72.5,102,70,233,72.5,1.2,70,10.2,70,,,"2,620",72.4,"1,896",,90.4,65,58.8,,683,25,287,32.5,,167,59.6,107,,,,104,"1,831",,,"3,295",,116,"1,472",446,659,169,6.7,3.7,506,"3,379",70,"2,365",,45.1,421,466,70,326,83.1,216,299,70,209,,1.5,1.5,70,1.1,Cue,766,70,536,,,,,,,,,,,,423,70,296
1910,1.5,70,,,,,,,0.83,70,,,0.19,70,0.53,72.5,,,,,"1,074",72.5,71.1,72.5,50.8,72.5,,,,,24.5,70,,,801,72.5,73.3,70,198,72.5,,,4.6,70,,,"2,300",72.4,"1,665",,41.7,65,27.1,,709,52,121,114,,175,27.8,104,,,,108,"1,259",,,"2,670",,130,"1,134",426,638,144,,,528,"3,000",70,"2,100",,25.5,297,323,70,226,34.3,122,156,70,109,,,,,,,479,70,335,,,139,74.2,16.9,,2.4,3.9,,,134,370,70,259
